latitude,longitude,country
-0.51,29.29,Congo
-0.528,29.472,Congo
-0.547,29.653,Congo
-0.569,30.031,Uganda
-0.598,29.102,Congo
-0.604,29.896,Uganda
-0.615,30.885,Uganda
-0.627,29.773,Uganda
-0.637,30.763,Uganda
-0.653,30.447,Uganda
-0.659,30.341,Uganda
-0.667,30.433,Uganda
-0.677,29.623,Congo
-0.702,29.798,Uganda
-0.72,30.48,Uganda
-0.726,29.374,Congo
-0.727,30.573,Uganda
-0.766,29.534,Congo
-0.785,29.115,Congo
-0.787,30.513,Uganda
-0.793,30.607,Uganda
-0.798,29.402,Congo
-0.799,29.201,Congo
-0.801,29.499,Congo
-0.806,31.494,Uganda
-0.829,30.471,Uganda
-0.837,29.863,Uganda
-0.843,30.657,Uganda
-0.853,30.647,Uganda
-0.855,30.145,Uganda
-0.859,30.441,Uganda
-0.866,30.734,Uganda
-0.869,29.231,Congo
-0.871,30.029,Uganda
-0.905,29.495,Congo
-0.905,29.995,Uganda
-0.915,28.985,Congo
-0.925,29.875,Uganda
-0.933,29.267,Congo
-0.935,29.765,Uganda
-0.938,29.262,Congo
-0.942,30.258,Uganda
-0.95,31.45,Uganda
-0.956,30.744,Uganda
-0.963,30.237,Uganda
-0.964,29.436,Congo
-0.964,29.636,Uganda
-0.965,29.735,Uganda
-0.972,29.628,Uganda
-0.972,30.628,Uganda
-0.978,29.722,Uganda
-0.986,30.214,Uganda
-0.989,30.411,Uganda
-0.997,30.403,Uganda
-0.997,30.603,Uganda
-1.0,29.8,Uganda
-1.003,29.497,Congo
-1.004,31.396,Tanzania
-1.014,29.786,Uganda
-1.024,28.976,Congo
-1.036,28.964,Congo
-1.041,29.859,Uganda
-1.043,29.057,Congo
-1.045,30.455,Uganda
-1.048,30.252,Uganda
-1.052,30.948,Tanzania
-1.062,28.838,Congo
-1.065,31.035,Tanzania
-1.066,29.734,Uganda
-1.067,29.833,Uganda
-1.068,31.332,Tanzania
-1.068,31.532,Tanzania
-1.07,29.33,Congo
-1.07,30.03,Uganda
-1.074,29.826,Uganda
-1.076,28.724,Congo
-1.084,29.616,Uganda
-1.085,29.215,Congo
-1.092,31.108,Tanzania
-1.097,29.903,Uganda
-1.105,29.995,Uganda
-1.115,30.085,Uganda
-1.116,29.684,Uganda
-1.117,29.883,Uganda
-1.118,30.282,Uganda
-1.129,31.371,Tanzania
-1.13,30.07,Uganda
-1.139,30.561,Tanzania
-1.143,30.957,Tanzania
-1.163,29.537,Congo
-1.167,30.633,Tanzania
-1.168,30.232,Uganda
-1.17,29.33,Congo
-1.171,31.329,Tanzania
-1.173,30.727,Tanzania
-1.176,30.624,Tanzania
-1.176,31.324,Tanzania
-1.176,31.524,Tanzania
-1.185,28.915,Congo
-1.187,31.113,Tanzania
-1.196,30.404,Rwanda
-1.2,31.0,Tanzania
-1.203,31.397,Tanzania
-1.207,30.693,Tanzania
-1.211,30.389,Rwanda
-1.214,30.786,Tanzania
-1.223,29.377,Congo
-1.223,29.877,Uganda
-1.225,30.975,Tanzania
-1.226,30.274,Rwanda
-1.231,30.269,Rwanda
-1.231,30.969,Tanzania
-1.242,30.658,Tanzania
-1.244,29.856,Uganda
-1.252,28.848,Congo
-1.258,30.042,Uganda
-1.267,29.233,Congo
-1.274,29.926,Uganda
-1.279,30.521,Rwanda
-1.283,30.417,Rwanda
-1.289,28.911,Congo
-1.289,29.711,Uganda
-1.292,29.408,Congo
-1.299,29.601,Uganda
-1.303,28.997,Congo
-1.307,30.393,Rwanda
-1.315,29.785,Uganda
-1.319,30.281,Rwanda
-1.327,30.973,Tanzania
-1.328,28.872,Congo
-1.331,29.669,Uganda
-1.335,29.465,Congo
-1.339,29.961,Uganda
-1.342,29.258,Congo
-1.342,30.158,Uganda
-1.342,31.358,Tanzania
-1.346,31.254,Tanzania
-1.348,29.552,Congo
-1.355,30.245,Rwanda
-1.355,30.645,Tanzania
-1.36,30.34,Rwanda
-1.364,29.036,Congo
-1.366,29.434,Congo
-1.368,30.932,Tanzania
-1.371,29.629,Uganda
-1.383,29.917,Uganda
-1.384,28.916,Congo
-1.398,29.702,Rwanda
-1.399,29.601,Rwanda
-1.4,30.0,Uganda
-1.408,31.292,Tanzania
-1.41,31.39,Tanzania
-1.412,31.188,Tanzania
-1.413,30.287,Rwanda
-1.416,31.284,Tanzania
-1.427,30.073,Rwanda
-1.429,30.171,Rwanda
-1.429,30.971,Tanzania
-1.444,30.856,Tanzania
-1.45,29.35,Congo
-1.482,30.618,Rwanda
-1.486,29.314,Congo
-1.486,29.614,Rwanda
-1.49,30.31,Rwanda
-1.49,30.51,Rwanda
-1.492,30.308,Rwanda
-1.497,30.603,Rwanda
-1.505,30.995,Tanzania
-1.51,29.89,Rwanda
-1.51,30.19,Rwanda
-1.514,29.686,Rwanda
-1.516,28.984,Congo
-1.523,30.677,Rwanda
-1.526,29.874,Rwanda
-1.528,29.972,Rwanda
-1.528,31.372,Tanzania
-1.529,30.971,Tanzania
-1.53,30.87,Tanzania
-1.532,28.568,Congo
-1.533,28.467,Congo
-1.533,29.967,Rwanda
-1.534,30.366,Rwanda
-1.534,31.466,Tanzania
-1.536,28.364,Congo
-1.555,30.945,Tanzania
-1.581,30.819,Tanzania
-1.583,28.517,Congo
-1.593,30.207,Rwanda
-1.596,29.404,Rwanda
-1.597,29.603,Rwanda
-1.606,30.294,Rwanda
-1.609,29.391,Rwanda
-1.613,28.487,Congo
-1.615,30.285,Rwanda
-1.617,30.683,Rwanda
-1.621,30.479,Rwanda
-1.639,31.061,Tanzania
-1.641,31.259,Tanzania
-1.649,29.351,Rwanda
-1.659,29.641,Rwanda
-1.664,30.336,Rwanda
-1.667,30.933,Tanzania
-1.682,29.218,Congo
-1.683,29.617,Rwanda
-1.683,31.217,Tanzania
-1.69,28.51,Congo
-1.695,31.405,Tanzania
-1.696,28.304,Congo
-1.696,30.704,Rwanda
-1.7,30.9,Tanzania
-1.712,28.688,Congo
-1.718,30.382,Rwanda
-1.729,30.471,Rwanda
-1.73,28.47,Congo
-1.737,30.063,Rwanda
-1.743,29.457,Rwanda
-1.753,28.547,Congo
-1.764,31.436,Tanzania
-1.77,29.13,Congo
-1.77,31.03,Tanzania
-1.783,31.117,Tanzania
-1.792,30.408,Rwanda
-1.797,30.303,Rwanda
-1.799,28.601,Congo
-1.802,29.798,Rwanda
-1.802,31.198,Tanzania
-1.804,31.196,Tanzania
-1.807,30.093,Rwanda
-1.808,29.892,Rwanda
-1.82,31.28,Tanzania
-1.833,28.467,Congo
-1.839,28.761,Congo
-1.839,30.961,Tanzania
-1.844,30.356,Rwanda
-1.845,29.355,Rwanda
-1.846,29.554,Rwanda
-1.847,28.753,Congo
-1.847,30.953,Tanzania
-1.851,30.949,Tanzania
-1.852,29.948,Rwanda
-1.858,31.442,Tanzania
-1.861,30.939,Tanzania
-1.868,29.832,Rwanda
-1.871,29.729,Rwanda
-1.877,28.523,Congo
-1.877,30.623,Rwanda
-1.88,30.72,Rwanda
-1.882,28.718,Congo
-1.882,30.018,Rwanda
-1.889,29.611,Rwanda
-1.899,31.201,Tanzania
-1.9,29.5,Rwanda
-1.902,28.398,Congo
-1.903,28.297,Congo
-1.906,29.694,Rwanda
-1.911,29.389,Rwanda
-1.911,30.189,Rwanda
-1.92,29.68,Rwanda
-1.922,29.178,Rwanda
-1.923,29.777,Rwanda
-1.926,28.474,Congo
-1.929,28.771,Congo
-1.932,31.068,Tanzania
-1.933,30.367,Rwanda
-1.938,31.362,Tanzania
-1.944,28.556,Congo
-1.945,29.155,Rwanda
-1.951,28.649,Congo
-1.959,30.341,Rwanda
-1.961,28.939,Congo
-1.961,31.339,Tanzania
-1.968,30.932,Tanzania
-1.974,28.526,Congo
-1.978,31.122,Tanzania
-1.981,31.219,Tanzania
-1.99,30.41,Rwanda
-2.015,30.985,Tanzania
-2.016,31.184,Tanzania
-2.018,28.882,Congo
-2.032,29.168,Rwanda
-2.041,30.559,Rwanda
-2.049,29.151,Congo
-2.049,29.551,Rwanda
-2.049,30.751,Rwanda
-2.051,29.949,Rwanda
-2.053,30.647,Rwanda
-2.055,30.845,Rwanda
-2.056,30.544,Rwanda
-2.058,30.642,Rwanda
-2.059,28.741,Congo
-2.065,30.235,Rwanda
-2.07,29.23,Rwanda
-2.073,28.627,Congo
-2.079,29.321,Rwanda
-2.08,28.62,Congo
-2.082,29.218,Rwanda
-2.082,30.418,Rwanda
-2.091,30.709,Rwanda
-2.096,28.404,Congo
-2.102,29.898,Rwanda
-2.119,29.281,Rwanda
-2.123,28.977,Congo
-2.123,31.277,Tanzania
-2.125,30.375,Rwanda
-2.133,30.467,Rwanda
-2.136,30.264,Rwanda
-2.153,29.947,Rwanda
-2.154,29.946,Rwanda
-2.162,30.138,Rwanda
-2.166,31.234,Tanzania
-2.171,28.629,Congo
-2.176,29.324,Rwanda
-2.177,30.223,Rwanda
-2.179,29.121,Congo
-2.179,30.621,Rwanda
-2.18,29.62,Rwanda
-2.183,30.917,Tanzania
-2.185,29.515,Rwanda
-2.185,30.515,Rwanda
-2.194,29.506,Rwanda
-2.204,30.996,Tanzania
